Region,Country,Cause,Value
Europe,Albania,Communicable diseases,46.5
Europe,Albania,Injuries,48.0
Europe,Albania,Noncommunicable diseases,671.6
Europe,Armenia,Communicable diseases,45.0
Europe,Armenia,Injuries,49.2
Europe,Armenia,Noncommunicable diseases,847.5
Europe,Austria,Communicable diseases,12.6
Europe,Austria,Injuries,30.6
Europe,Austria,Noncommunicable diseases,359.5
Europe,Azerbaijan,Communicable diseases,70.8
Europe,Azerbaijan,Injuries,33.6
Europe,Azerbaijan,Noncommunicable diseases,664.3
Europe,Belarus,Communicable diseases,28.3
Europe,Belarus,Injuries,91.3
Europe,Belarus,Noncommunicable diseases,682.5
Europe,Belgium,Communicable diseases,27.8
Europe,Belgium,Injuries,38.9
Europe,Belgium,Noncommunicable diseases,356.8
Europe,Bosnia and Herzegovina,Communicable diseases,20.0
Europe,Bosnia and Herzegovina,Injuries,42.4
Europe,Bosnia and Herzegovina,Noncommunicable diseases,512.5
Europe,Bulgaria,Communicable diseases,33.4
Europe,Bulgaria,Injuries,36.4
Europe,Bulgaria,Noncommunicable diseases,638.2
Europe,Croatia,Communicable diseases,12.2
Europe,Croatia,Injuries,40.1
Europe,Croatia,Noncommunicable diseases,495.8
Europe,Cyprus,Communicable diseases,16.2
Europe,Cyprus,Injuries,26.6
Europe,Cyprus,Noncommunicable diseases,333.0
Europe,Czech Republic,Communicable diseases,27.0
Europe,Czech Republic,Injuries,39.1
Europe,Czech Republic,Noncommunicable diseases,460.7
Europe,Denmark,Communicable diseases,29.5
Europe,Denmark,Injuries,22.5
Europe,Denmark,Noncommunicable diseases,406.1
Europe,Estonia,Communicable diseases,18.5
Europe,Estonia,Injuries,47.0
Europe,Estonia,Noncommunicable diseases,510.7
Europe,Finland,Communicable diseases,9.0
Europe,Finland,Injuries,38.7
Europe,Finland,Noncommunicable diseases,366.6
Europe,France,Communicable diseases,21.4
Europe,France,Injuries,34.6
Europe,France,Noncommunicable diseases,313.2
Europe,Georgia,Communicable diseases,39.3
Europe,Georgia,Injuries,32.2
Europe,Georgia,Noncommunicable diseases,615.2
Europe,Germany,Communicable diseases,21.6
Europe,Germany,Injuries,23.0
Europe,Germany,Noncommunicable diseases,365.1
Europe,Greece,Communicable diseases,24.1
Europe,Greece,Injuries,26.5
Europe,Greece,Noncommunicable diseases,365.0
Europe,Hungary,Communicable diseases,16.8
Europe,Hungary,Injuries,44.3
Europe,Hungary,Noncommunicable diseases,602.8
Europe,Iceland,Communicable diseases,14.0
Europe,Iceland,Injuries,29.0
Europe,Iceland,Noncommunicable diseases,311.7
Europe,Ireland,Communicable diseases,21.5
Europe,Ireland,Injuries,31.8
Europe,Ireland,Noncommunicable diseases,343.9
Europe,Israel,Communicable diseases,31.2
Europe,Israel,Injuries,20.8
Europe,Israel,Noncommunicable diseases,311.2
Europe,Italy,Communicable diseases,15.5
Europe,Italy,Injuries,20.1
Europe,Italy,Noncommunicable diseases,303.6
Europe,Kazakhstan,Communicable diseases,55.3
Europe,Kazakhstan,Injuries,101.6
Europe,Kazakhstan,Noncommunicable diseases,949.7
Europe,Kyrgyzstan,Communicable diseases,65.8
Europe,Kyrgyzstan,Injuries,65.1
Europe,Kyrgyzstan,Noncommunicable diseases,835.4
Europe,Latvia,Communicable diseases,26.0
Europe,Latvia,Injuries,54.5
Europe,Latvia,Noncommunicable diseases,623.7
Europe,Lithuania,Communicable diseases,25.5
Europe,Lithuania,Injuries,76.4
Europe,Lithuania,Noncommunicable diseases,580.6
Europe,Luxembourg,Communicable diseases,20.5
Europe,Luxembourg,Injuries,31.1
Europe,Luxembourg,Noncommunicable diseases,317.8
Europe,Malta,Communicable diseases,23.6
Europe,Malta,Injuries,19.0
Europe,Malta,Noncommunicable diseases,364.5
Europe,Montenegro,Communicable diseases,18.7
Europe,Montenegro,Injuries,41.2
Europe,Montenegro,Noncommunicable diseases,571.5
Europe,Netherlands,Communicable diseases,25.5
Europe,Netherlands,Injuries,22.3
Europe,Netherlands,Noncommunicable diseases,355.2
Europe,Norway,Communicable diseases,25.2
Europe,Norway,Injuries,25.6
Europe,Norway,Noncommunicable diseases,336.6
Europe,Poland,Communicable diseases,22.6
Europe,Poland,Injuries,48.9
Europe,Poland,Noncommunicable diseases,494.5
Europe,Portugal,Communicable diseases,39.9
Europe,Portugal,Injuries,25.2
Europe,Portugal,Noncommunicable diseases,343.3
Europe,Republic of Moldova,Communicable diseases,44.5
Europe,Republic of Moldova,Injuries,75.7
Europe,Republic of Moldova,Noncommunicable diseases,787.6
Europe,Romania,Communicable diseases,38.5
Europe,Romania,Injuries,40.7
Europe,Romania,Noncommunicable diseases,612.2
Europe,Russian Federation,Communicable diseases,73.8
Europe,Russian Federation,Injuries,102.8
Europe,Russian Federation,Noncommunicable diseases,790.3
Europe,Serbia,Communicable diseases,19.4
Europe,Serbia,Injuries,32.0
Europe,Serbia,Noncommunicable diseases,657.7
Europe,Slovakia,Communicable diseases,35.3
Europe,Slovakia,Injuries,39.1
Europe,Slovakia,Noncommunicable diseases,532.5
Europe,Slovenia,Communicable diseases,15.4
Europe,Slovenia,Injuries,44.2
Europe,Slovenia,Noncommunicable diseases,369.2
Europe,Spain,Communicable diseases,19.1
Europe,Spain,Injuries,17.8
Europe,Spain,Noncommunicable diseases,323.1
Europe,Sweden,Communicable diseases,19.3
Europe,Sweden,Injuries,26.1
Europe,Sweden,Noncommunicable diseases,333.5
Europe,Switzerland,Communicable diseases,14.5
Europe,Switzerland,Injuries,25.4
Europe,Switzerland,Noncommunicable diseases,291.6
Europe,Tajikistan,Communicable diseases,147.7
Europe,Tajikistan,Injuries,51.6
Europe,Tajikistan,Noncommunicable diseases,752.6
Europe,The former Yugoslav republic of Macedonia,Communicable diseases,16.9
Europe,The former Yugoslav republic of Macedonia,Injuries,24.0
Europe,The former Yugoslav republic of Macedonia,Noncommunicable diseases,636.5
Europe,Turkey,Communicable diseases,43.9
Europe,Turkey,Injuries,39.1
Europe,Turkey,Noncommunicable diseases,555.2
Europe,Turkmenistan,Communicable diseases,115.8
Europe,Turkmenistan,Injuries,93.0
Europe,Turkmenistan,Noncommunicable diseases,1025.1
Europe,Ukraine,Communicable diseases,69.3
Europe,Ukraine,Injuries,67.3
Europe,Ukraine,Noncommunicable diseases,749.0
Europe,United Kingdom of Great Britain and Northern Ireland,Communicable diseases,28.5
Europe,United Kingdom of Great Britain and Northern Ireland,Injuries,21.5
Europe,United Kingdom of Great Britain and Northern Ireland,Noncommunicable diseases,358.8
Europe,Uzbekistan,Communicable diseases,85.8
Europe,Uzbekistan,Injuries,47.4
Europe,Uzbekistan,Noncommunicable diseases,810.9
Western Pacific,Australia,Communicable diseases,13.7
