Continent,Region,Country,Population
Africa,Eastern Africa,Ethiopia,104957438.0
Africa,Eastern Africa,Tanzania,57310019.0
Africa,Eastern Africa,Kenya,49699862.0
Africa,Eastern Africa,Uganda,42862958.0
Africa,Eastern Africa,Mozambique,29668834.0
Africa,Eastern Africa,Madagascar,25570895.0
Africa,Eastern Africa,Malawi,18622104.0
Africa,Eastern Africa,Zambia,17094130.0
Africa,Eastern Africa,Zimbabwe,16529904.0
Africa,Eastern Africa,Somalia,14742523.0
Africa,Eastern Africa,South Sudan,12575714.0
Africa,Eastern Africa,Rwanda,12208407.0
Africa,Eastern Africa,Burundi,10864245.0
Africa,Eastern Africa,Eritrea,5068831.0
Africa,Eastern Africa,Mauritius,1265138.0
Africa,Eastern Africa,Djibouti,956985.0
Africa,Eastern Africa,Réunion,876562.0
Africa,Eastern Africa,Comoros,813912.0
Africa,Eastern Africa,Mayotte,253045.0
Africa,Eastern Africa,Seychelles,94737.0
Africa,Western Africa,Nigeria,190886311.0
Africa,Western Africa,Ghana,28833629.0
Africa,Western Africa,Côte Ivoire,24294750.0
Africa,Western Africa,Niger,21477348.0
Africa,Western Africa,Burkina Faso,19193382.0
Africa,Western Africa,Mali,18541980.0
Africa,Western Africa,Senegal,15850567.0
Africa,Western Africa,Guinea,12717176.0
Africa,Western Africa,Benin,11175692.0
Africa,Western Africa,Togo,7797694.0
Africa,Western Africa,Sierra Leone,7557212.0
Africa,Western Africa,Liberia,4731906.0
Africa,Western Africa,Mauritania,4420184.0
Africa,Western Africa,The Gambia,2100568.0
Africa,Western Africa,Guinea-Bissau,1861283.0
Africa,Western Africa,Cabo Verde,546388.0
Africa,Western Africa,"Saint Helena, Ascension and Tristan da Cunha",4049.0
Africa,North Africa,Egypt,97553151.0
Africa,North Africa,Algeria,41318142.0
Africa,North Africa,Sudan,40533330.0
Africa,North Africa,Morocco,35739580.0
Africa,North Africa,Tunisia,11532127.0
Africa,North Africa,Libya,6374616.0
Africa,North Africa,Western Sahara,552628.0
Africa,Central Africa,Democratic Republic of the Congo,81339988.0
Africa,Central Africa,Angola,29784193.0
Africa,Central Africa,Cameroon,24053727.0
Africa,Central Africa,Chad,14899994.0
Africa,Central Africa,Congo,5260750.0
Africa,Central Africa,Central African Republic,4659080.0
